id;cognome;nome;data_nascita;note
S01;Bianchi;Alessandro;21/07/2009;
S02;Bruno;Chiara;18/05/2009;
S03;Caruso;Matteo;22/08/2009;
S04;Colombo;Sofia;08/08/2009;
S05;Conti;Lorenzo;08/05/2009;
S06;De Angelis;Giulia;02/01/2009;
S07;Esposito;Davide;11/04/2009;
S08;Ferrari;Martina;01/01/2009;
S09;Fontana;Simone;10/04/2009;PDP - DSA (discalculia): tempo aggiuntivo, formulario
S10;Galli;Elisa;07/09/2009;
S11;Greco;Nicolo;09/09/2009;
S12;Longo;Aurora;15/01/2009;
S13;Marchetti;Federico;28/08/2009;Frequenza irregolare
S14;Mariani;Beatrice;16/08/2009;
S15;Moretti;Riccardo;02/10/2009;
S16;Neri;Camilla;24/08/2009;
S17;Parisi;Tommaso;15/02/2009;
S18;Rizzo;Ludovica;23/10/2009;
S19;Sanna;Gabriele;01/01/2009;Inserito a novembre da altro istituto
S20;Serra;Noemi;04/09/2009;
S21;Villa;Jacopo;22/06/2009;
