id;cognome;nome;V1_16-10-2025;V2_27-11-2025;V3_22-01-2026
S01;Bianchi;Alessandro;6,0;5,5;5,5
S02;Bruno;Chiara;8,0;8,0;7,0
S03;Caruso;Matteo;4,5;4,0;5,0
S04;Colombo;Sofia;9,5;7,0;8,5
S05;Conti;Lorenzo;6,0;5,0;6,0
S06;De Angelis;Giulia;7,0;6,5;7,0
S07;Esposito;Davide;4,5;ASS;4,5
S08;Ferrari;Martina;9,5;8,5;9,0
S09;Fontana;Simone;6,0;5,5;5,5
S10;Galli;Elisa;7,0;5,5;7,5
S11;Greco;Nicolo;6,0;4,0;4,5
S12;Longo;Aurora;7,5;5,5;7,5
S13;Marchetti;Federico;ASS;4,5;ASS
S14;Mariani;Beatrice;10,0;9,0;9,0
S15;Moretti;Riccardo;6,0;7,0;6,5
S16;Neri;Camilla;6,5;7,0;6,5
S17;Parisi;Tommaso;6,0;5,0;5,0
S18;Rizzo;Ludovica;8,0;6,5;8,0
S19;Sanna;Gabriele;ASS;5,5;7,0
S20;Serra;Noemi;7,0;7,5;7,0
S21;Villa;Jacopo;5,5;5,0;5,0
